Event	ID	Name			Wwise Object Path	Notes
	452547817	Stop_All			\Default Work Unit\Stop_All	
	1327221850	Resume_All_Global			\Default Work Unit\Resume_All_Global	
	3493516265	Pause_All_Global			\Default Work Unit\Pause_All_Global	
	3679762312	Resume_All			\Default Work Unit\Resume_All	
	3864097025	Pause_All			\Default Work Unit\Pause_All	

Dialogue Event	ID	Name			Wwise Object Path	Notes
	3585983975	Unit_Under_Attack			\Dialogue\Unit_Under_Attack	
	3970659059	Objective_Status			\Dialogue\Objective_Status	
	4110439188	WalkieTalkie			\Dialogue\WalkieTalkie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28779853	UNB-HS-HG_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-HS-HG_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-HG_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	21723
	38027547	WalkieTalkie_OUT_06	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\SFX\WalkieTalkie_OUT_06_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Walkie-Talkie\WalkieTalkie_OUT\WalkieTalkie_OUT_06	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	1863
	54720405	UNB-BM-LO_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-BM-LO_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-BM-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12229
	58593093	UNB-GG-ST_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-GG-ST_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	16656
	61298839	UNB-HS-LO_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-HS-LO_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-HS-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	20835
	62681434	UNB-RH-OS_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-RH-OS_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-RH-OS_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	12747
	99661973	UNA-GG-LO_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNA-GG-LO_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-LO_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11594
	109058487	UNA-GG-AL_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNA-GG-AL_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-AL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	14943
	110186142	UNA-GG-ST_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNA-GG-ST_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_A\UNA-GG-ST_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	17670
	114039653	UNB-DB-FL_01	C:\Jenkins\workspace\Wwise_2015.1\Wwise\SDK\samples\IntegrationDemo\WwiseProject\.cache\Windows\Voices\English(US)\UNB-DB-FL_01_E843A46D.wem		\Actor-Mixer Hierarchy\Dialogues\Captain_B\UNB-DB-FL_01	Audiokinetic Inc. All rights reserved. Audio content provided by Technicolor. © 2007 Technicolor. www.technicolor.com	11595
